ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
96752_at	-1.7578815474364573	7.936569263572649	-5.962312211118598	4.2071606404051326e-5	5.416394028595804e-4	1.8926992848855946	ENSMUSG00000037405
161332_f_at	-1.7613540538151113	9.032738945011639	-9.928321002065987	1.532113074672165e-7	7.358856952502306e-6	7.706311420100304	ENSMUSG00000024791
96771_at	-1.7781060948121459	8.301650627756027	-8.19171299120591	1.4243031861144659e-6	4.107782491500566e-5	5.401655698196908	ENSMUSG00000018166
100024_at	-1.7832308255381886	9.025144780543618	-6.163820245178765	3.014723838618109e-5	4.211171285980195e-4	2.2376650692736995	ENSMUSG00000029381
104556_at	-1.7859135327842255	7.31356057039519	-7.8596535712083115	2.265625531908196e-6	5.897687853790978e-5	4.920640230896405	ENSMUSG00000040649
95497_at	-1.7883698275563678	9.055481333083248	-6.931438979046385	8.914025118436361e-6	1.6739600853989968e-4	3.500354898775562	ENSMUSG00000032397
103064_at	-1.7993154642101565	9.376390610086526	-6.575910914878242	1.5518029210629927e-5	2.5431646821830254e-4	2.9256422113008593	ENSMUSG00000032113
103658_r_at	-1.8074134281419036	5.7860199065237286	-6.029733257592235	3.760868527355963e-5	5.012350711805898e-4	2.0087420239391847	ENSMUSG00000029267
93093_at	-1.8249307669210655	9.254223686109132	-7.925268515780258	2.064915610146896e-6	5.533619343243441e-5	5.016787928795777	ENSMUSG00000038612
102976_at	-1.8312889978895974	8.34080533147595	-11.830146709172602	1.842102228624305e-8	1.620012157116924e-6	9.879700676517903	ENSMUSG00000017146
97717_at	-1.8342632786245954	7.582942462853428	-8.579494840793966	8.418482777720039e-7	2.7815033554239987e-5	5.946211519764281	ENSMUSG00000068079
95659_at	-1.8344348522925173	10.15502637699831	-6.26555571083405	2.5532976253798002e-5	3.707625668109645e-4	2.4096966207820927	ENSMUSG00000027671
92317_at	-1.8355340760966037	7.177980192025001	-7.8400997661464364	2.32936379235323e-6	6.032833857547763e-5	4.891881563599723	ENSMUSG00000008489
